iter	MultiClass
0	7.597998369
1	7.514214725
2	7.430248411
3	7.362810642
4	7.300725004
5	7.222848724
6	7.174113999
7	7.115928418
8	7.072929739
9	7.034966356
10	6.997223312
11	6.962930874
12	6.927449534
13	6.894416694
14	6.863220876
15	6.836930833
16	6.806743828
17	6.782360985
18	6.759699575
19	6.739333925
20	6.718676726
21	6.700223951
22	6.683287752
23	6.665763809
24	6.649270352
25	6.633605618
26	6.619727337
27	6.606174145
28	6.591939296
29	6.57913949
30	6.565360799
31	6.551398407
32	6.539462929
33	6.531903794
34	6.525295162
35	6.515376796
36	6.505141595
37	6.494286142
38	6.487078414
39	6.476658479
40	6.469620005
41	6.461856527
42	6.458301684
43	6.450053666
44	6.447132493
45	6.441699864
46	6.433862595
47	6.425202795
48	6.42103028
49	6.413955684
50	6.404626094
51	6.395953909
52	6.389742095
53	6.381664362
54	6.373320364
55	6.371953951
56	6.365671958
57	6.364529496
58	6.357509082
59	6.356561674
60	6.355723146
61	6.35497905
62	6.348690348
63	6.344314523
64	6.343719555
65	6.337058289
66	6.329917644
67	6.322201123
68	6.314309156
69	6.306824327
70	6.299359623
71	6.294849117
72	6.289803501
73	6.283876011
74	6.275693527
75	6.269106568
76	6.265591975
77	6.2578125
78	6.251486129
79	6.245480722
80	6.238501073
81	6.231119964
82	6.226215736
83	6.21959472
84	6.214719906
85	6.210544295
86	6.205899624
87	6.199056205
88	6.192704549
89	6.189528464
90	6.182957501
91	6.177345814
92	6.173588693
93	6.167049207
94	6.159599983
95	6.155398572
96	6.150271425
97	6.146221206
98	6.141308207
99	6.137846764
