iter	Passed	Remaining
0	9979	987960
1	19968	978466
2	30077	972503
3	40244	965873
4	50439	958342
5	60042	940669
6	69990	929875
7	79612	915546
8	89836	908343
9	100028	900256
10	109927	889416
11	119945	879603
12	129748	868313
13	139587	857464
14	149413	846677
15	159638	838102
16	169798	829014
17	179422	817371
18	189466	807725
19	199587	798349
20	209715	788931
21	219516	778284
22	229606	768683
23	239609	758764
24	249474	748422
25	259709	739174
26	269704	729202
27	279999	719999
28	289718	709310
29	299851	699652
30	309913	689807
31	319731	679428
32	329936	669870
33	333784	647934
34	337444	626683
35	347298	617418
36	357255	608300
37	367194	599106
38	377402	590296
39	387243	580865
40	397239	571636
41	407320	562489
42	411171	545041
43	420713	535454
44	424560	518907
45	434139	509641
46	443888	500554
47	453708	491517
48	463594	482516
49	473554	473554
50	483687	464719
51	493600	455630
52	503796	446762
53	513848	437722
54	523605	428404
55	527478	414447
56	537269	405308
57	541114	391841
58	550675	382672
59	554517	369678
60	558178	356867
61	561844	344356
62	571441	335608
63	581546	327120
64	585348	315187
65	595620	306834
66	605384	298174
67	615408	289603
68	625218	280895
69	635308	272275
70	645334	263587
71	654967	254709
72	664843	245901
73	674508	236989
74	684369	228123
75	694264	219241
76	704168	210336
77	714111	201416
78	723848	192415
79	733743	183435
80	743614	174428
81	753514	165405
82	763036	156284
83	773056	147248
84	783306	138230
85	793192	129124
86	802776	119955
87	812468	110791
88	822310	101633
89	832291	92476
90	842017	83276
91	851635	74055
92	861470	64841
93	871327	55616
94	881352	46386
95	891155	37131
96	901211	27872
97	911141	18594
98	921168	9304
99	931213	0
